Município/Estado,Arroz (2021),Arroz (2022),Arroz (2023),Soja (2021),Soja (2022),Soja (2023),Trigo (2021),Trigo (2022),Trigo (2023)
Coronel Vivida,2,2,2,29.100,29.000,29.800,8.000,7.500,9.000
Corumbataí do Sul,-,-,-,3.200,3.200,4.100,590,600,2.200
Cruz Machado,35,30,30,3.500,3.500,4.200,200,300,400
Cruzeiro do Iguaçu,1,1,1,4.400,4.970,4.950,2.500,2.500,2.800
Cruzeiro do Oeste,-,-,-,6.000,7.800,8.400,-,250,36
Cruzeiro do Sul,-,-,-,4.500,4.244,5.404,-,-,-
Cruzmaltina,-,-,-,10.400,11.000,11.000,800,3.800,3.800
Curitiba,-,-,-,-,30,60,-,-,-
Curiúva,50,55,30,7.560,7.700,8.500,800,800,2.400
Diamante D'Oeste,3,5,-,3.950,4.415,4.560,2.400,765,765
Diamante do Norte,-,-,-,3.783,3.783,3.400,-,-,-
Diamante do Sul,4,4,5,2.000,2.000,2.700,1.100,1.100,1.500
Dois Vizinhos,1,1,1,17.630,17.900,19.800,11.000,11.000,14.700
Douradina,580,1.018,580,1.500,3.000,2.670,-,-,-
Doutor Camargo,-,-,-,9.462,9.430,9.493,30,250,150
Doutor Ulysses,40,40,40,800,850,1.000,-,-,-
Enéas Marques,1,1,1,3.200,3.320,3.530,1.800,2.300,2.490
Engenheiro Beltrão,-,-,-,32.000,35.200,34.580,1.000,1.200,1.000
Entre Rios do Oeste,-,-,-,5.100,5.230,5.230,350,200,10
Esperança Nova,-,-,-,160,300,360,-,-,-
Espigão Alto do Iguaçu,4,4,5,10.000,11.000,11.100,900,1.300,2.100
Farol,-,-,-,19.672,23.000,23.350,4.000,4.500,3.200
Faxinal,2,4,2,15.000,15.000,15.000,6.000,5.000,5.000
Fazenda Rio Grande,-,-,-,1.800,1.830,1.500,-,-,200
Fênix,-,-,-,15.000,15.500,16.400,-,100,600
Fernandes Pinheiro,5,5,2,14.645,15.000,15.500,1.800,2.000,2.500
Figueira,35,30,30,1.600,1.800,1.800,150,150,520
Flor da Serra do Sul,1,1,1,6.300,6.600,6.650,1.200,1.400,1.700
Floraí,-,-,-,12.700,12.720,12.660,-,-,500
Floresta,3,1,2,12.800,12.740,12.800,100,170,310
Florestópolis,-,-,-,8.500,9.500,10.000,75,63,250
Flórida,-,-,-,3.488,3.750,3.900,-,-,12
Formosa do Oeste,-,-,-,15.950,16.100,16.100,300,1.000,350
Foz do Iguaçu,-,-,-,10.260,8.950,9.450,600,400,800
Foz do Jordão,5,3,2,9.900,9.850,10.240,3.600,4.000,3.700
Francisco Alves,-,-,-,19.000,19.000,19.750,-,-,-
Francisco Beltrão,1,1,1,20.700,22.700,25.400,3.400,7.000,6.930
General Carneiro,15,15,15,3.000,3.000,3.500,-,-,-
Godoy Moreira,2,1,1,4.000,6.600,6.600,600,1.980,1.980
Goioerê,-,-,3,32.000,35.000,35.000,100,440,50
Goioxim,5,5,2,20.600,22.000,20.870,4.100,4.600,4.200
Grandes Rios,15,2,5,4.000,5.500,5.500,1.900,3.025,3.025
Guaíra,-,-,-,33.790,33.910,33.955,600,800,700
Guairaçá,-,-,-,-,-,10,-,-,-
Guamiranga,10,10,2,7.800,7.000,7.300,550,600,600
Guapirama,30,30,10,6.200,6.600,6.600,3.500,3.500,3.500
Guaporema,-,-,-,1.565,1.565,1.565,-,-,-
Guaraci,-,-,-,4.100,3.900,4.000,-,-,-
Guaraniaçu,8,8,10,20.800,20.800,25.200,8.700,8.700,11.200
Guarapuava,9,47,10,76.000,76.000,75.860,22.700,25.000,23.500
Guaraqueçaba,415,420,422,-,-,-,-,-,-
Guaratuba,566,600,601,-,-,-,-,-,-
Honório Serpa,-,-,-,21.520,22.400,23.920,2.500,3.000,3.000
Ibaiti,70,60,40,12.300,13.600,12.300,3.800,2.800,8.500
Ibema,5,5,5,5.000,5.000,5.000,4.000,4.000,4.000
Ibiporã,-,-,-,16.660,16.000,16.300,1.890,1.100,2.000
Icaraíma,400,600,780,716,281,556,-,-,-
Iguaraçu,-,-,-,9.500,9.500,9.500,32,420,425
Iguatu,1,1,1,3.571,3.571,3.571,600,600,600
Imbaú,1,1,1,3.050,2.750,2.850,1.000,800,1.000
Imbituva,5,5,5,26.000,30.500,30.900,3.100,3.200,3.200
Inácio Martins,5,2,5,4.000,8.000,7.820,50,100,100
Inajá,-,-,-,1.183,1.828,774,-,-,-
Indianópolis,-,-,-,1.600,1.600,1.600,-,-,-
Ipiranga,2,2,2,29.051,28.650,31.400,4.944,7.500,9.000
Iporã,-,-,-,25.700,26.100,26.800,-,70,120
Iracema do Oeste,-,-,-,6.420,6.477,6.485,900,189,300
Irati,100,90,10,34.000,33.500,37.000,2.700,2.800,2.800
Iretama,-,-,-,12.800,13.200,14.000,6.000,4.800,7.000
Itaguajé,-,-,-,900,912,912,-,-,-
Itaipulândia,-,-,-,9.840,10.850,10.990,600,600,420
Itambaracá,-,-,3,13.300,32.480,13.200,-,-,-
Itambé,-,-,-,17.315,17.715,18.240,68,130,480
Itapejara d'Oeste,-,-,-,15.350,15.700,16.150,3.000,3.500,4.000
Itaperuçu,-,-,4,255,255,250,-,-,-
Itaúna do Sul,-,-,-,277,277,277,-,-,-
Ivaí,28,25,20,15.050,13.950,18.500,3.400,4.500,4.200
Ivaiporã,10,2,3,19.500,21.000,21.000,10.000,8.700,10.700
Ivaté,1.180,1.260,1.170,720,937,2.350,-,-,-
Ivatuba,-,-,-,8.130,8.200,8.200,-,-,30
Jaboti,40,40,20,5.100,2.100,2.100,800,800,930
Jacarezinho,20,20,10,5.800,5.800,5.800,1.800,1.100,1.100
Jaguapitã,-,-,-,12.170,13.900,14.000,150,950,1.800
Jaguariaíva,5,5,5,26.200,25.400,25.350,9.300,8.850,7.500
Jandaia do Sul,-,-,-,4.100,4.500,4.800,1.700,2.000,3.500
Janiópolis,-,-,-,21.500,22.000,22.500,1.000,1.200,1.000
Japira,40,40,20,6.400,5.100,5.200,600,1.100,1.100
Japurá,-,-,-,9.050,9.050,9.050,-,-,-
Jardim Alegre,4,2,3,10.100,13.410,13.410,8.000,4.100,4.100
Jardim Olinda,-,-,-,1.620,1.500,1.903,-,-,-
Jataizinho,-,-,-,8.200,8.200,8.200,4.360,4.360,4.360
Jesuítas,10,10,10,14.440,14.525,14.585,2.500,3.750,2.000
Joaquim Távora,25,25,25,2.400,2.400,2.400,650,650,650
Jundiaí do Sul,40,60,60,8.700,8.800,8.800,1.300,2.500,2.500
Juranda,-,-,-,27.500,29.300,29.317,700,700,2.000
Jussara,-,-,-,11.850,11.850,11.850,900,900,900
Kaloré,-,-,-,10.600,12.550,13.000,2.000,1.900,2.550
Lapa,2,2,2,58.700,60.000,61.785,6.000,9.000,6.150
Laranjal,2,2,2,2.650,3.100,3.100,650,800,1.500
Laranjeiras do Sul,12,12,15,20.600,20.600,22.300,4.400,5.100,6.900
Leópolis,4,4,2,21.720,21.170,21.170,3.610,3.610,800
Lidianópolis,-,-,-,5.900,7.000,7.000,3.500,2.450,2.450
Lindoeste,2,2,2,7.166,7.166,7.166,1.530,1.530,1.530
Loanda,-,-,-,700,857,1.390,-,-,-
Lobato,-,-,-,6.400,6.635,6.208,-,-,-
Londrina,30,80,-,62.000,70.000,69.000,26.500,24.500,27.500
Luiziana,-,-,-,47.600,47.600,50.500,23.900,22.000,25.000
Lunardelli,1,1,1,5.700,5.900,5.900,1.800,2.000,3.750
Lupionópolis,-,-,-,6.000,5.100,5.100,-,-,15
Mallet,25,25,25,16.500,16.500,16.500,650,700,700
Mamborê,-,-,-,57.000,57.000,60.800,14.000,15.200,17.000
Mandaguaçu,3,-,-,12.360,11.093,12.340,43,300,342
Mandaguari,-,-,-,7.000,7.800,7.780,1.200,1.700,4.200
Mandirituba,-,-,-,550,565,700,-,-,250
Manfrinópolis,1,1,1,920,1.100,1.450,200,200,300
Mangueirinha,-,-,-,42.250,46.700,46.350,10.000,11.000,11.000
Manoel Ribas,3,3,3,26.700,30.000,30.000,14.500,17.000,19.000
Marechal Cândido Rondon,-,-,-,32.050,33.000,33.000,2.200,1.500,500
Maria Helena,-,-,-,350,620,620,-,-,-
Marialva,-,-,-,26.658,27.000,27.000,7.400,7.800,9.000
Marilândia do Sul,5,5,4,21.850,22.000,22.550,10.000,8.500,14.000
Marilena,-,-,-,410,345,320,-,-,-
Mariluz,-,-,-,18.500,24.300,24.600,387,620,40
Maringá,-,-,-,24.500,24.626,24.700,800,600,900
Mariópolis,-,-,-,13.600,15.300,15.300,600,700,1.200
Maripá,-,-,-,22.500,21.750,22.550,2.000,2.500,1.700
Marmeleiro,1,1,1,17.020,17.150,18.300,5.000,7.000,4.980
Marquinho,4,4,5,6.500,6.500,6.700,1.900,1.900,2.900
Marumbi,3,3,3,3.300,4.200,4.400,1.450,2.000,2.600
Matelândia,-,-,-,12.400,12.125,12.480,4.000,3.700,4.500
Matinhos,35,-,-,-,-,-,-,-,-
Mato Rico,8,8,8,10.300,13.000,13.800,6.300,6.500,6.800
Mauá da Serra,-,-,-,3.700,3.300,3.700,3.600,3.000,3.200
Medianeira,-,-,-,13.700,13.700,13.700,2.200,800,800
Mercedes,-,-,-,6.800,7.100,7.000,385,200,250
Mirador,-,-,-,2.600,2.600,3.000,-,-,-
Miraselva,-,-,-,615,1.330,610,-,-,-
Missal,-,-,-,13.430,13.350,13.680,70,170,35
Moreira Sales,-,-,-,13.000,14.000,14.000,48,240,160
Morretes,140,150,151,-,-,-,-,-,-
Munhoz de Melo,-,-,-,6.229,5.978,6.307,-,-,22
Nossa Senhora das Graças,-,-,-,1.800,1.930,1.850,-,-,-
Nova Aliança do Ivaí,-,-,-,250,411,290,-,-,-
Nova América da Colina,3,1,1,5.980,5.970,5.970,1.510,1.510,1.410
Nova Aurora,-,-,-,34.130,34.050,34.170,10.460,8.300,10.300
Nova Cantu,-,-,-,24.500,25.000,25.400,4.500,4.300,10.500
Nova Esperança,-,-,-,6.000,7.000,7.000,-,-,-
